team,games_played,wins,losses,win_percent,minutes,points,field_goals_made,field_goals_attempted,field_goals_percent,threes_made,threes_attempted,threes_percent,ft_made,ft_attempted,ft_percent,o_rebound,d_rebound,rebounds,assists,turnovers,steals,blocks,blocks_against,personal_fouls,year,image
Phoenix Suns,82,21,61,.256,3941,8522,3153,7141,44.2,763,2286,33.4,1453,1962,74.1,842,2776,3618,1743,1289,569,370,488,1807,2017,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
Golden State Warriors,82,67,15,.817,3956,9503,3532,7140,49.5,982,2562,38.3,1457,1850,78.8,770,2873,3643,2491,1211,785,555,313,1585,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
San Antonio Spurs,82,61,21,.744,3961,8637,3222,6864,46.9,753,1927,39.1,1440,1806,79.7,821,2777,3598,1954,1101,655,484,333,1498,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Houston Rockets,82,55,27,.671,3956,9458,3305,7152,46.2,1181,3306,35.7,1667,2177,76.6,892,2746,3638,2070,1240,670,352,409,1634,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Boston Celtics,82,53,29,.646,3951,8857,3168,6977,45.4,985,2741,35.9,1536,1903,80.7,743,2698,3441,2069,1088,617,340,425,1686,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Cleveland Cavaliers,82,51,31,.622,3976,9048,3275,6963,47.0,1067,2779,38.4,1431,1913,74.8,766,2821,3587,1858,1121,539,327,349,1486,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
LA Clippers,82,51,31,.622,3951,8911,3242,6820,47.5,841,2245,37.5,1586,2128,74.5,738,2790,3528,1848,1062,612,347,258,1626,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Toronto Raptors,82,51,31,.622,3956,8762,3211,6918,46.4,725,1996,36.3,1615,2028,79.6,871,2676,3547,1517,1041,677,400,392,1708,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Utah Jazz,82,51,31,.622,3951,8258,3033,6515,46.6,791,2128,37.2,1401,1875,74.7,771,2774,3545,1651,1118,550,410,312,1545,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Washington Wizards,82,49,33,.598,3971,8953,3388,7137,47.5,756,2030,37.2,1421,1812,78.4,843,2671,3514,1956,1162,693,336,377,1745,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Oklahoma City Thunder,82,47,35,.573,3961,8741,3237,7169,45.2,692,2116,32.7,1575,2113,74.5,1002,2821,3823,1721,1230,648,408,450,1715,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Atlanta Hawks,82,43,39,.524,3976,8459,3123,6918,45.1,729,2137,34.1,1484,2039,72.8,842,2793,3635,1938,1294,672,397,424,1491,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Memphis Grizzlies,82,43,39,.524,3981,8239,2984,6854,43.5,767,2169,35.4,1504,1918,78.4,886,2621,3507,1744,1059,653,344,410,1840,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Indiana Pacers,82,42,40,.512,3971,8618,3221,6931,46.5,709,1885,37.6,1467,1811,81.0,742,2702,3444,1844,1130,669,409,407,1597,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Milwaukee Bucks,82,42,40,.512,3956,8497,3182,6715,47.4,720,1946,37.0,1413,1839,76.8,723,2589,3312,1984,1145,666,436,375,1660,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Chicago Bulls,82,41,41,.500,3956,8435,3169,7141,44.4,623,1831,34.0,1474,1848,79.8,999,2797,3796,1851,1112,643,393,378,1455,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Miami Heat,82,41,41,.500,3956,8460,3202,7037,45.5,808,2213,36.5,1248,1768,70.6,872,2705,3577,1742,1102,588,469,398,1680,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Portland Trail Blazers,82,41,41,.500,3986,8851,3243,7059,45.9,852,2272,37.5,1513,1940,78.0,830,2750,3580,1733,1126,574,408,431,1736,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Denver Nuggets,82,40,42,.488,3951,9161,3377,7194,46.9,870,2365,36.8,1537,1986,77.4,966,2837,3803,2077,1226,568,323,404,1567,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Detroit Pistons,82,37,45,.451,3961,8309,3269,7282,44.9,631,1915,33.0,1140,1586,71.9,908,2838,3746,1732,973,574,310,339,1467,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Charlotte Hornets,82,36,46,.439,3966,8601,3093,7000,44.2,824,2347,35.1,1591,1953,81.5,721,2853,3574,1891,942,571,390,450,1360,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
New Orleans Pelicans,82,34,48,.415,3981,8556,3210,7130,45.0,768,2196,35.0,1368,1825,75.0,703,2879,3582,1869,1054,638,453,348,1490,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Dallas Mavericks,82,33,49,.402,3956,8029,2968,6750,44.0,878,2473,35.5,1215,1516,80.1,647,2516,3163,1705,972,614,307,280,1567,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Sacramento Kings,82,32,50,.390,3976,8430,3105,6734,46.1,737,1960,37.6,1483,1913,77.5,715,2652,3367,1844,1201,627,324,420,1667,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Minnesota Timberwolves,82,31,51,.378,3961,8657,3235,6922,46.7,601,1723,34.9,1586,1986,79.9,938,2540,3478,1940,1150,654,370,413,1646,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
New York Knicks,82,31,51,.378,3971,8556,3244,7256,44.7,704,2022,34.8,1364,1731,78.8,983,2723,3706,1786,1139,581,455,377,1668,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Orlando Magic,82,29,53,.354,3961,8288,3139,7133,44.0,701,2139,32.8,1309,1753,74.7,807,2734,3541,1820,1091,580,396,419,1584,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Philadelphia 76ers,82,28,54,.341,3966,8400,3088,6992,44.2,831,2443,34.0,1393,1806,77.1,807,2706,3513,1949,1366,692,420,446,1793,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Los Angeles Lakers,82,26,56,.317,3941,8575,3224,7164,45.0,730,2110,34.6,1397,1853,75.4,933,2636,3569,1716,1243,674,320,440,1698,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Phoenix Suns,82,24,58,.293,3966,8831,3270,7260,45.0,615,1854,33.2,1676,2159,77.6,976,2712,3688,1604,1265,673,399,435,2030,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Brooklyn Nets,82,20,62,.244,3951,8673,3102,6987,44.4,877,2591,33.8,1592,2020,78.8,721,2879,3600,1756,1356,593,387,457,1726,2016,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Golden State Warriors,82,73,9,.890,3976,9421,3489,7159,48.7,1077,2592,41.6,1366,1790,76.3,816,2972,3788,2373,1245,689,498,336,1701,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
San Antonio Spurs,82,67,15,.817,3941,8490,3289,6797,48.4,570,1518,37.5,1342,1672,80.3,770,2831,3601,2010,1071,677,485,317,1433,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Cleveland Cavaliers,82,57,25,.695,3971,8555,3171,6888,46.0,880,2428,36.2,1333,1783,74.8,873,2777,3650,1861,1114,551,317,362,1666,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Toronto Raptors,82,56,26,.683,3956,8422,3006,6669,45.1,708,1915,37.0,1702,2190,77.7,836,2724,3560,1536,1073,636,449,442,1610,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Oklahoma City Thunder,82,55,27,.671,3966,9038,3372,7082,47.6,678,1945,34.9,1616,2067,78.2,1071,2916,3987,1883,1305,603,487,373,1691,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
LA Clippers,82,53,29,.646,3966,8569,3141,6759,46.5,797,2190,36.4,1490,2152,69.2,721,2727,3448,1873,1063,709,460,259,1746,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Atlanta Hawks,82,48,34,.585,3966,8433,3168,6923,45.8,815,2326,35.0,1282,1638,78.3,679,2772,3451,2100,1226,747,486,411,1570,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Boston Celtics,82,48,34,.585,3956,8669,3216,7318,43.9,717,2142,33.5,1520,1929,78.8,950,2733,3683,1981,1127,752,348,450,1796,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Charlotte Hornets,82,48,34,.585,3971,8479,3036,6922,43.9,873,2410,36.2,1534,1941,79.0,734,2869,3603,1778,1029,595,438,448,1487,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Miami Heat,82,48,34,.585,3966,8204,3150,6697,47.0,498,1480,33.6,1406,1889,74.4,807,2811,3618,1709,1155,553,531,337,1502,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Indiana Pacers,82,45,37,.549,3976,8377,3142,6985,45.0,663,1889,35.1,1430,1872,76.4,847,2779,3626,1741,1219,742,391,366,1641,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Detroit Pistons,82,44,38,.537,3976,8361,3111,7087,43.9,740,2148,34.5,1399,2095,66.8,1021,2777,3798,1594,1110,573,304,366,1557,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Portland Trail Blazers,82,44,38,.537,3961,8622,3167,7040,45.0,864,2336,37.0,1424,1889,75.4,948,2782,3730,1748,1200,562,380,424,1782,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Chicago Bulls,82,42,40,.512,3981,8335,3165,7170,44.1,651,1753,37.1,1354,1720,78.7,907,2889,3796,1870,1141,495,470,465,1545,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Dallas Mavericks,82,42,40,.512,4001,8388,3064,6900,44.4,806,2342,34.4,1454,1831,79.4,751,2781,3532,1813,1047,560,306,363,1595,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Memphis Grizzlies,82,42,40,.512,3966,8126,3019,6859,44.0,504,1521,33.1,1584,2024,78.3,916,2497,3413,1697,1090,724,350,469,1783,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Houston Rockets,82,41,41,.500,3966,8737,3094,6847,45.2,878,2533,34.7,1671,2407,69.4,930,2601,3531,1821,1307,821,430,404,1790,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Washington Wizards,82,41,41,.500,3951,8534,3238,7033,46.0,709,1983,35.8,1349,1849,73.0,743,2688,3431,2005,1186,708,323,356,1708,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Utah Jazz,82,40,42,.488,3991,8010,2957,6593,44.9,694,1956,35.5,1402,1885,74.4,880,2665,3545,1554,1224,631,425,385,1655,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Orlando Magic,82,35,47,.427,3981,8369,3242,7120,45.5,636,1818,35.0,1249,1649,75.7,843,2709,3552,1933,1155,673,417,448,1701,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Denver Nuggets,82,33,49,.402,3966,8355,3093,7003,44.2,656,1943,33.8,1513,1974,76.6,941,2718,3659,1858,1202,609,395,517,1723,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Milwaukee Bucks,82,33,49,.402,3966,8122,3145,6740,46.7,440,1277,34.5,1392,1863,74.7,858,2559,3417,1895,1247,672,475,462,1695,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Sacramento Kings,82,33,49,.402,3961,8740,3283,7083,46.4,660,1839,35.9,1514,2089,72.5,868,2760,3628,2009,1326,733,368,437,1676,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
New York Knicks,82,32,50,.390,3961,8065,3022,6886,43.9,610,1762,34.6,1411,1753,80.5,850,2788,3638,1682,1099,467,466,343,1616,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
New Orleans Pelicans,82,30,52,.366,3956,8423,3153,7040,44.8,702,1951,36.0,1415,1823,77.6,782,2712,3494,1818,1102,633,342,423,1713,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Minnesota Timberwolves,82,29,53,.354,3976,8398,3095,6668,46.4,455,1347,33.8,1753,2213,79.2,821,2587,3408,1916,1231,656,375,427,1696,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Phoenix Suns,82,23,59,.280,3941,8271,3051,7018,43.5,738,2118,34.8,1431,1905,75.1,943,2733,3676,1701,1410,632,313,449,1858,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Brooklyn Nets,82,21,61,.256,3951,8089,3136,6920,45.3,531,1508,35.2,1286,1699,75.7,863,2614,3477,1829,1212,627,332,430,1476,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Los Angeles Lakers,82,17,65,.207,3946,7982,2880,6956,41.4,639,2016,31.7,1583,2028,78.1,878,2645,3523,1478,1124,593,337,458,1662,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Philadelphia 76ers,82,10,72,.122,3961,7988,2970,6887,43.1,764,2255,33.9,1284,1850,69.4,777,2605,3382,1765,1343,680,495,466,1780,2015,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Golden State Warriors,82,67,15,.817,3946,9016,3410,7137,47.8,883,2217,39.8,1313,1709,76.8,853,2814,3667,2248,1185,762,496,293,1628,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Atlanta Hawks,82,60,22,.732,3946,8409,3121,6699,46.6,818,2152,38.0,1349,1735,77.8,715,2611,3326,2111,1167,744,380,404,1457,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Houston Rockets,82,56,26,.683,3961,8522,3032,6832,44.4,933,2680,34.8,1525,2133,71.5,958,2624,3582,1820,1366,777,407,437,1803,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Los Angeles Clippers,82,56,26,.683,3946,8751,3228,6830,47.3,827,2202,37.6,1468,2067,71.0,784,2711,3495,2031,1012,640,409,245,1749,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Memphis Grizzlies,82,55,27,.671,3981,8062,3097,6763,45.8,423,1246,33.9,1445,1869,77.3,856,2634,3490,1777,1094,700,347,424,1567,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
San Antonio Spurs,82,55,27,.671,3991,8461,3208,6854,46.8,677,1847,36.7,1368,1754,78.0,806,2772,3578,2000,1146,657,444,362,1564,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Cleveland Cavaliers,82,53,29,.646,3956,8457,3089,6739,45.8,826,2253,36.7,1453,1934,75.1,911,2612,3523,1814,1171,603,340,368,1510,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Portland Trail Blazers,82,51,31,.622,3971,8429,3175,7049,45.0,807,2231,36.2,1272,1589,80.1,879,2881,3760,1799,1117,525,372,297,1494,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Chicago Bulls,82,50,32,.610,3976,8265,3001,6797,44.2,645,1825,35.3,1618,2067,78.3,959,2792,3751,1781,1145,514,476,443,1495,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Dallas Mavericks,82,50,32,.610,3976,8628,3255,7036,46.3,732,2082,35.2,1386,1843,75.2,858,2608,3466,1846,1062,663,371,314,1644,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Toronto Raptors,82,49,33,.598,3971,8527,3108,6829,45.5,726,2060,35.2,1585,2014,78.7,881,2526,3407,1701,1057,615,357,413,1712,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Washington Wizards,82,46,36,.561,3991,8080,3139,6790,46.2,497,1381,36.0,1305,1758,74.2,862,2801,3663,1969,1233,601,378,350,1707,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
New Orleans Pelicans,82,45,37,.549,3956,8147,3108,6795,45.7,586,1583,37.0,1345,1790,75.1,942,2621,3563,1806,1087,553,510,475,1530,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Oklahoma City Thunder,82,45,37,.549,3966,8524,3184,7119,44.7,632,1864,33.9,1524,2020,75.4,1052,2844,3896,1681,1205,598,454,377,1829,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Milwaukee Bucks,82,41,41,.500,3986,8023,3083,6722,45.9,545,1500,36.3,1312,1734,75.7,876,2574,3450,1932,1373,789,403,392,1814,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Boston Celtics,82,40,42,.488,3976,8312,3193,7211,44.3,660,2021,32.7,1266,1678,75.4,910,2685,3595,2009,1133,674,294,431,1738,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Phoenix Suns,82,39,43,.476,3976,8397,3178,7038,45.2,698,2048,34.1,1343,1767,76.0,896,2643,3539,1659,1238,700,385,337,1744,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Brooklyn Nets,82,38,44,.463,3986,8038,3069,6804,45.1,541,1633,33.1,1359,1817,74.8,846,2627,3473,1716,1133,576,340,372,1579,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Indiana Pacers,82,38,44,.463,3971,7981,2998,6824,43.9,612,1740,35.2,1373,1817,75.6,856,2822,3678,1757,1147,505,375,386,1742,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Utah Jazz,82,38,44,.463,3941,7801,2900,6492,44.7,610,1781,34.3,1391,1929,72.1,988,2617,3605,1632,1256,623,489,382,1583,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Miami Heat,82,37,45,.451,3946,7764,2885,6330,45.6,556,1659,33.5,1438,1940,74.1,747,2461,3208,1626,1214,642,372,359,1636,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Charlotte Hornets,82,33,49,.402,3981,7721,2913,6932,42.0,498,1566,31.8,1397,1867,74.8,820,2793,3613,1654,976,499,448,440,1494,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Detroit Pistons,82,32,50,.390,3966,8077,3041,7038,43.2,703,2043,34.4,1292,1838,70.3,1051,2630,3681,1771,1099,623,383,391,1559,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Denver Nuggets,82,30,52,.366,3976,8320,3099,7158,43.3,660,2032,32.5,1462,1991,73.4,1012,2653,3665,1788,1166,641,367,504,1882,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Sacramento Kings,82,29,53,.354,3971,8310,3010,6617,45.5,461,1350,34.1,1829,2400,76.2,895,2728,3623,1667,1333,550,324,508,1696,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Orlando Magic,82,25,57,.305,3951,7847,3076,6792,45.3,554,1598,34.7,1141,1565,72.9,822,2607,3429,1692,1221,647,314,441,1714,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Los Angeles Lakers,82,21,61,.256,3986,8073,3054,7020,43.5,532,1546,34.4,1433,1935,74.1,952,2647,3599,1715,1086,578,366,396,1741,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Philadelphia 76ers,82,18,64,.220,3961,7542,2765,6777,40.8,692,2160,32.0,1320,1953,67.6,978,2536,3514,1683,1453,789,487,454,1778,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
New York Knicks,82,17,65,.207,3971,7535,2882,6726,42.8,560,1614,34.7,1211,1575,76.9,867,2443,3310,1746,1206,575,382,353,1768,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
Minnesota Timberwolves,82,16,66,.195,3961,8016,2986,6820,43.8,406,1223,33.2,1638,2110,77.6,949,2406,3355,1771,1231,668,327,449,1571,2014,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
